SUBJECT,lh-bankssts,lh-caudalanteriorcingulate,lh-caudalmiddlefrontal,lh-cuneus,lh-entorhinal,lh-fusiform,lh-inferiorparietal,lh-inferiortemporal,lh-isthmuscingulate,lh-lateraloccipital,lh-lateralorbitofrontal,lh-lingual,lh-medialorbitofrontal,lh-middletemporal,lh-parahippocampal,lh-paracentral,lh-parsopercularis,lh-parsorbitalis,lh-parstriangularis,lh-pericalcarine,lh-postcentral,lh-posteriorcingulate,lh-precentral,lh-precuneus,lh-rostralanteriorcingulate,lh-rostralmiddlefrontal,lh-superiorfrontal,lh-superiorparietal,lh-superiortemporal,lh-supramarginal,lh-frontalpole,lh-temporalpole,lh-transversetemporal,lh-insula,rh-bankssts,rh-caudalanteriorcingulate,rh-caudalmiddlefrontal,rh-cuneus,rh-entorhinal,rh-fusiform,rh-inferiorparietal,rh-inferiortemporal,rh-isthmuscingulate,rh-lateraloccipital,rh-lateralorbitofrontal,rh-lingual,rh-medialorbitofrontal,rh-middletemporal,rh-parahippocampal,rh-paracentral,rh-parsopercularis,rh-parsorbitalis,rh-parstriangularis,rh-pericalcarine,rh-postcentral,rh-posteriorcingulate,rh-precentral,rh-precuneus,rh-rostralanteriorcingulate,rh-rostralmiddlefrontal,rh-superiorfrontal,rh-superiorparietal,rh-superiortemporal,rh-supramarginal,rh-frontalpole,rh-temporalpole,rh-transversetemporal,rh-insula,lh-MeanThickness,rh-MeanThickness
p086_v5,0.34732345,0.60123074,0.522248,0.39032915,1.3351707,1.0200049,0.6506604,0.97260094,0.6921559,0.612301,0.6734179,0.6355457,0.56800836,0.6958035,0.8102396,0.23630103,0.4697652,0.5856907,0.36453557,0.1617452,0.46618566,0.61825264,0.4925937,0.5535374,0.72507375,0.57975596,0.6300399,0.49868494,0.76528686,0.6691614,0.35975128,0.80467284,0.39441332,0.8543206,0.38298777,0.61859,0.6106331,0.39740738,1.3079009,0.9523184,0.6899851,0.76190394,0.751148,0.666671,0.62446016,0.55832034,0.7805031,0.6788973,0.80346125,0.23129979,0.44362536,0.48657158,0.45882565,0.14467709,0.5136686,0.5090565,0.5464702,0.55534214,0.8073946,0.56114566,0.5641732,0.46822822,0.69482803,0.5298419,0.25357935,0.74752665,0.2805965,0.7779599,0.8414787,0.81195086
p161_v4,0.24452354,0.5062451,0.39149538,0.43754986,1.1542188,0.93601924,0.56966025,0.85585296,0.48846182,0.5398314,0.6908793,0.5895491,0.5413018,0.7707961,0.80425715,0.28590122,0.31767437,0.5977281,0.43038422,0.25464186,0.38195798,0.6132549,0.35609818,0.4675443,0.6074785,0.6952461,0.5306063,0.43735203,0.63297737,0.5577025,0.35593745,1.2235118,0.11549159,0.7964921,0.43394804,0.64855033,0.45583808,0.22047694,1.2645452,0.84527653,0.41207597,0.7595454,0.7078964,0.39766324,0.5025757,0.63052833,0.6860676,0.62826574,0.9828189,0.25689906,0.28192458,0.44819418,0.50578994,0.41864106,0.30876327,0.5759835,0.3963095,0.54270273,0.5841784,0.6288556,0.58097017,0.34242442,0.6081438,0.47162873,0.3613335,1.1313603,0.16151157,0.6890461,0.82979256,0.75536287
p190_v4,0.35965887,0.6704291,0.36673322,0.35007143,0.5059187,1.1279448,0.42999586,0.7075455,0.6792875,0.37691084,0.7773347,0.81360537,0.58492637,0.6976671,1.277643,0.40158224,0.50597477,0.6479384,0.62856954,0.1921377,0.5584732,0.6712687,0.40053537,0.6058544,0.63006735,0.69908845,0.59523225,0.37513605,0.62430197,0.42644572,0.31171978,0.59610367,0.34834877,0.85422736,0.46183756,0.6698615,0.46279842,0.46000573,0.92140836,1.0421858,0.4508371,0.5913536,0.67108685,0.59356123,0.6459606,0.8019108,0.67882305,0.5257699,1.2188282,0.64890456,0.43292,0.410238,0.46549195,0.25268194,0.5328626,0.7613238,0.35277537,0.5929503,0.8247504,0.4409732,0.5075166,0.37039465,0.5412226,0.42510965,0.3577934,0.745978,0.3412484,0.69650507,0.79926,0.7302247
p113_v7,0.40403157,0.7983362,0.44095376,0.26270264,1.176201,0.89985317,0.6656007,0.85940397,0.9708275,0.63427573,0.836519,0.6315973,0.87840515,0.71680534,1.0947375,0.3124866,0.5528444,0.42935196,0.60704315,0.2395122,0.6892303,0.68370193,0.54367644,0.6920288,1.0980278,0.68996704,0.6450596,0.42197526,0.61318314,0.68134415,0.369819,0.6816715,0.44719896,1.13817,0.40511912,0.5855602,0.530154,0.37270346,1.234892,1.0050092,0.67007947,0.7714767,1.0386484,0.5775263,0.6007043,0.5509029,0.78954405,0.6785366,1.1607128,0.36144176,0.4107855,0.42361417,0.6092653,0.30233207,0.51159775,0.8232651,0.5052719,0.75347304,0.8744835,0.7237326,0.5362761,0.40738264,0.6852132,0.49764565,0.3931559,0.67781556,0.26859304,0.9454266,0.9017328,0.89014566
p218_v4,0.38372013,0.8645029,0.37621582,0.30067682,0.9377794,1.0192236,0.4393172,0.69931895,0.7954437,0.62416285,0.61421,0.7189928,0.5366925,0.59087586,1.0116376,0.32270244,0.5158649,0.3791852,0.4258855,0.28671724,0.5453418,0.6335755,0.35784313,0.60307664,0.85928035,0.5812626,0.51270473,0.37030295,0.5855222,0.35221666,0.28262925,0.5230983,0.31743088,0.8271843,0.46030208,0.74597377,0.43502998,0.26272893,1.2912316,0.7823335,0.46138552,0.67476916,0.80071384,0.53329426,0.60221595,0.8409841,0.5811487,0.50688016,1.0049016,0.37361354,0.4435971,0.59061676,0.50083476,0.27027857,0.5015072,0.6928828,0.39139092,0.6021506,0.85058475,0.5056262,0.55759263,0.36330837,0.55302393,0.51332355,0.2614605,0.97020173,0.19332454,0.70390815,0.81260777,0.8326928
p221_v7,0.50245345,0.72622204,0.41297993,0.62100524,0.9985219,0.8317344,0.4529853,0.79040647,0.568169,0.44199216,0.83018494,0.78907573,0.979701,0.7383442,0.69952947,0.2513898,0.57163215,0.6792699,0.5189125,0.27643758,0.5741443,0.6293221,0.45165956,0.5182097,1.0866365,0.6341194,0.6407467,0.36413312,0.6191138,0.4875971,0.23915333,0.58211327,0.42119732,1.0427049,0.3759775,0.76510924,0.38318452,0.6318661,1.262363,0.82961875,0.42539746,0.6154875,0.5846888,0.60665834,0.8738703,0.87701,0.91790825,0.63115,0.68725914,0.419367,0.5654886,0.5915942,0.46681905,0.3014956,0.56007445,0.5137894,0.35629407,0.6158134,1.0019493,0.58769715,0.54950666,0.31980816,0.65994334,0.40372258,0.27318555,0.6169439,0.43640864,0.7584439,0.805511,0.77484965
p303_v6,0.361857,0.73986,0.33744353,0.700019,0.8486544,1.1523532,0.5520374,0.7572108,0.9383228,0.6632273,0.728907,0.94395626,0.80459267,0.6736829,1.0633576,0.46394667,0.5759821,0.5210244,0.49898928,0.3721057,0.6202269,0.6855318,0.4798641,0.67873305,1.1827922,0.5557876,0.7084896,0.46284032,0.6559056,0.43802392,0.30751798,0.5882255,0.52499455,1.0766826,0.42363447,0.7658174,0.41071156,0.6295201,0.97507423,0.87295425,0.5551589,0.6469422,0.6920808,0.5494063,0.89680475,0.863705,0.72087055,0.50958955,1.0106663,0.458351,0.51548517,0.40004563,0.47206315,0.40516317,0.55844647,0.68879974,0.530309,0.6501655,1.2020575,0.557391,0.73826844,0.39446414,0.73141927,0.3850802,0.44643065,0.9005898,0.53467566,0.8910608,0.94666785,0.88471866
p100_v7,0.45227745,0.5147007,0.42735326,0.46121278,0.52858925,0.79203814,0.43502578,0.71074307,0.748983,0.41850147,0.73037803,0.6811929,0.8238,0.5541721,0.994543,0.49835265,0.49210447,0.49186653,0.4409228,0.14919738,0.5763102,0.6283261,0.38460574,0.70030314,0.8282826,0.47616836,0.47473535,0.27673158,0.60918593,0.51085556,0.29280293,0.6346044,0.475285,0.855826,0.35728708,0.53534085,0.42219377,0.42616796,0.8197927,1.011032,0.37262586,0.71602887,0.937165,0.56483203,0.7856692,0.71935505,0.61872786,0.6146213,0.90233845,0.34322578,0.45628542,0.32790717,0.23886767,0.28835613,0.5563199,0.6585109,0.37307853,0.696577,0.93385917,0.40947196,0.5192994,0.32590085,0.4462093,0.49030638,0.31638786,0.7316657,0.3747086,0.95285136,0.7486944,0.75543207
p406_v7,0.4099573,0.8482021,0.46110675,0.27619782,1.4403222,1.3031709,0.6151509,0.8559697,0.7341409,0.6061954,0.8088246,0.7652895,0.8646453,0.63208765,1.0950935,0.31112653,0.37993723,0.31231558,0.5855855,0.19507487,0.6402462,0.65985286,0.56616706,0.61419123,1.1049924,0.70476866,0.62168163,0.42946187,0.78028,0.6347868,0.33613974,0.837061,0.43373713,0.9947403,0.4000405,0.7651305,0.4489208,0.338431,1.223763,1.1073598,0.6670076,0.8539481,0.79380745,0.62645036,0.71856505,0.780596,0.86308163,0.74064887,1.1848105,0.40693957,0.3768427,0.48831668,0.48071,0.20076488,0.61126393,0.6332491,0.5073647,0.7063279,1.0130342,0.8122998,0.6183572,0.4729547,0.78515357,0.4866943,0.48397422,0.82185936,0.27946183,0.98197675,1.0005329,1.0030451
p326_v6,0.36979523,0.840916,0.52891046,0.6578859,1.5110961,1.1342639,0.59588,1.0305537,0.8303271,0.7882948,0.710913,1.0926273,0.7470116,0.6838728,1.0567896,0.64530516,0.5173569,0.68218344,0.60686725,0.0969302,0.6844333,0.78018,0.67568374,0.58367723,0.98005617,0.5867361,0.6478932,0.48629782,0.6391962,0.67826605,0.28537095,1.0133892,0.51229894,1.2294012,0.42101964,1.0461074,0.5207872,0.63668835,1.1086094,1.039397,0.54631764,0.7986422,0.876603,0.5756207,0.81448674,0.87724894,0.89289296,0.5865819,1.5139933,0.6047765,0.4852685,0.6413053,0.5105042,0.22401263,0.6506496,0.80638975,0.51754385,0.55419993,1.0195829,0.77854544,0.7591942,0.34321657,0.60614985,0.5849308,0.35788786,0.54970354,0.5836662,0.8921542,0.99078226,0.98008233
p098_v7,0.3065921,0.8718534,0.4744383,0.326604,1.2691447,1.2859752,0.8467337,0.95679736,0.8868844,0.869948,0.7628232,0.92394865,0.84472954,0.938526,1.2454242,0.41085702,0.59290403,0.6648479,0.5897195,0.3107241,0.6600639,0.8146649,0.7059119,0.7384434,1.0071374,0.72533965,0.604282,0.4955134,0.877321,0.6268743,0.42298758,0.7951619,0.31705773,1.1136775,0.48700342,0.7532998,0.4712178,0.5109998,1.6371256,1.2094371,0.75886995,0.93896353,0.9127801,0.7245425,0.7728485,1.0935496,0.77074003,0.8002056,1.1551056,0.5721414,0.49672377,0.5223998,0.61725914,0.31086037,0.64125794,0.84783614,0.70946676,0.70764035,1.0871704,0.7706054,0.66666263,0.54918903,0.8145193,0.5397646,0.36887947,0.5444317,0.3009401,1.0718211,1.091619,1.0504174
p186_v5,0.46429828,0.67415357,0.34243032,0.556286,1.2888793,1.1477921,0.45005032,0.6967187,0.6849341,0.73548865,0.6983376,0.57435316,0.6059347,0.66793513,1.0648617,0.55111766,0.42983812,0.5774643,0.5215399,0.25830075,0.5489261,0.745824,0.39029858,0.5916833,0.9491614,0.65726656,0.49867803,0.3789141,0.5786371,0.49132004,0.37120497,0.7800334,0.40113837,1.0225668,0.3863278,0.6626898,0.41273218,0.56087154,1.0864339,1.0582671,0.44323474,0.84986746,0.7334425,0.67309,0.78692234,0.6612512,0.81265146,0.64974153,1.2136534,0.5451727,0.49464542,0.528824,0.4943351,0.39503217,0.4816539,0.7009679,0.42223293,0.70244205,0.86989915,0.60852236,0.49764636,0.39680487,0.63797766,0.44814357,0.21959257,0.9801353,0.3005425,0.8637596,0.8314356,0.84770316
p158_v7,0.5333818,0.8806766,0.4472582,0.23859656,1.489557,1.0885221,0.5713267,0.86603826,0.96537817,0.7394234,0.9110053,0.87055296,0.98497134,0.7307556,1.2489033,0.57621443,0.4345605,0.59609234,0.57373726,0.28097457,0.7391684,0.8598276,0.50592965,0.7917699,0.98600274,0.68398374,0.61127335,0.43440855,0.6912912,0.6032891,0.2896036,0.5815139,0.4511732,1.0369813,0.6021222,0.68236154,0.51772726,0.34038654,1.7558143,1.0013263,0.67641133,0.8918457,0.88099474,0.828514,0.8016515,0.8738229,1.0614226,0.77780634,1.0536414,0.43921894,0.49605805,0.5484011,0.51717556,0.28423083,0.6504875,0.7089496,0.728317,0.80822486,0.88379145,0.7367525,0.6454444,0.4292459,0.6025992,0.63202584,0.44460094,0.794362,0.35563353,0.9524396,1.0237533,0.9929096
p092_v6,0.29534185,0.7330028,0.40390655,0.31944793,0.94020945,0.8891317,0.480517,0.78733754,0.8092722,0.64339644,0.6649165,0.7735511,0.8370766,0.6196472,0.90302277,0.30572572,0.41447848,0.68569934,0.571108,0.19529931,0.4936957,0.7441502,0.37362134,0.57712543,1.0284563,0.5043801,0.64053774,0.38378456,0.6477769,0.5247768,0.19682917,0.60336006,0.35875878,0.85875833,0.3977984,0.5910559,0.3969132,0.4270882,0.9085257,0.8307271,0.444805,0.62278396,0.6687719,0.5756954,0.6777028,0.74711305,0.7896927,0.47014385,0.7827561,0.3169496,0.4256494,0.42065173,0.5271834,0.1730843,0.48539478,0.55210716,0.33141118,0.5979739,0.9400203,0.4437829,0.5243311,0.3264556,0.5132793,0.3713265,0.19411479,0.69988245,0.3119853,0.848399,0.81766725,0.76177675
p110_v7,0.41433048,0.5457977,0.3964375,0.46250468,1.1523757,1.0867804,0.39530692,0.72862774,0.58976024,0.53614473,0.73792267,0.6260335,0.7142593,0.6277675,0.99305695,0.51688904,0.40578708,0.5623191,0.33277902,0.15994284,0.5380964,0.51701206,0.45875075,0.61627185,0.9460809,0.43349305,0.53256655,0.43564317,0.53798616,0.44184056,0.20481458,0.77164274,0.37688056,0.7742038,0.44127393,0.7336815,0.33747977,0.25636554,1.0151985,0.971489,0.36320898,0.67689735,0.678346,0.7019755,0.6742373,0.7975612,0.8035268,0.6408552,0.8119322,0.35017997,0.46530864,0.45384833,0.31117165,0.1309668,0.5316299,0.5593794,0.3635697,0.7188963,0.8160888,0.45189247,0.60855573,0.44411132,0.5450444,0.46709165,0.27980295,0.94822973,0.47887576,0.88882935,0.75148207,0.75662273
