SUBJECT,lh-bankssts,lh-caudalanteriorcingulate,lh-caudalmiddlefrontal,lh-cuneus,lh-entorhinal,lh-fusiform,lh-inferiorparietal,lh-inferiortemporal,lh-isthmuscingulate,lh-lateraloccipital,lh-lateralorbitofrontal,lh-lingual,lh-medialorbitofrontal,lh-middletemporal,lh-parahippocampal,lh-paracentral,lh-parsopercularis,lh-parsorbitalis,lh-parstriangularis,lh-pericalcarine,lh-postcentral,lh-posteriorcingulate,lh-precentral,lh-precuneus,lh-rostralanteriorcingulate,lh-rostralmiddlefrontal,lh-superiorfrontal,lh-superiorparietal,lh-superiortemporal,lh-supramarginal,lh-frontalpole,lh-temporalpole,lh-transversetemporal,lh-insula,rh-bankssts,rh-caudalanteriorcingulate,rh-caudalmiddlefrontal,rh-cuneus,rh-entorhinal,rh-fusiform,rh-inferiorparietal,rh-inferiortemporal,rh-isthmuscingulate,rh-lateraloccipital,rh-lateralorbitofrontal,rh-lingual,rh-medialorbitofrontal,rh-middletemporal,rh-parahippocampal,rh-paracentral,rh-parsopercularis,rh-parsorbitalis,rh-parstriangularis,rh-pericalcarine,rh-postcentral,rh-posteriorcingulate,rh-precentral,rh-precuneus,rh-rostralanteriorcingulate,rh-rostralmiddlefrontal,rh-superiorfrontal,rh-superiorparietal,rh-superiortemporal,rh-supramarginal,rh-frontalpole,rh-temporalpole,rh-transversetemporal,rh-insula,lh-MeanThickness,rh-MeanThickness
p086_v5,0.34457114,0.5940014,0.5446234,0.3959803,1.3456186,1.0559076,0.63415843,0.96807396,0.6804252,0.57639545,0.71036196,0.63685954,0.5856385,0.68258107,0.8404076,0.23008163,0.4693168,0.58697957,0.35126895,0.1633698,0.46319723,0.60264903,0.48635054,0.5352021,0.72523195,0.58381367,0.63700366,0.49029443,0.74245214,0.67597985,0.35285679,0.81741315,0.39069802,0.85765177,0.3756456,0.62698257,0.5906169,0.4168979,1.3022025,0.97535944,0.6788156,0.70410407,0.7281627,0.6211754,0.6461927,0.5628312,0.7799218,0.6499011,0.8122517,0.22362034,0.44421253,0.4895207,0.451674,0.14777212,0.5185941,0.49280927,0.52326745,0.54324293,0.807153,0.5569633,0.546588,0.46168447,0.68375236,0.53974086,0.25075564,0.7787352,0.27469033,0.7775827,0.84352344,0.80025786
p161_v4,0.24264199,0.49335176,0.38234183,0.4100639,1.1598538,0.9261002,0.55671304,0.8244409,0.49067006,0.52844507,0.69033086,0.577362,0.5475137,0.7443214,0.79312384,0.2776731,0.32009983,0.608755,0.42624736,0.25153175,0.3771757,0.60437995,0.35002762,0.43359822,0.5969879,0.69284433,0.52123207,0.41865113,0.6109621,0.553602,0.361223,1.1966864,0.11877591,0.78822315,0.432277,0.64501184,0.44633847,0.21992393,1.2379532,0.8290576,0.4068572,0.7447549,0.7024809,0.40592042,0.4942423,0.6327878,0.6930837,0.6337677,0.96863425,0.25931078,0.28431377,0.45758802,0.50461024,0.6076943,0.2923594,0.5637586,0.37487176,0.5442434,0.5847843,0.61615974,0.58675313,0.3217531,0.57885045,0.46272892,0.36721313,1.1103252,0.15988941,0.6906004,0.8154281,0.7455713
p190_v4,0.34999502,0.66498494,0.35696575,0.33263025,0.5069077,1.1741177,0.42385337,0.6970194,0.7037547,0.37720284,0.80245465,0.8160145,0.58431536,0.6791638,1.2928544,0.40682265,0.48930886,0.66691726,0.61383003,0.19516213,0.53953123,0.6767446,0.40083802,0.62702435,0.6360782,0.6961625,0.59757936,0.36872965,0.5930466,0.43124658,0.3536331,0.5895386,0.36463946,0.84793913,0.4782659,0.6825734,0.44660577,0.47435492,0.90916747,1.0029701,0.4426518,0.55092907,0.7066784,0.5853529,0.65026253,0.7869551,0.6824699,0.50090396,1.2011707,0.65721786,0.42112568,0.40842703,0.4586217,0.26166537,0.5289089,0.77309644,0.34683174,0.61056536,0.8307622,0.43612263,0.51693654,0.35709536,0.48702008,0.44971249,0.36254573,0.72562844,0.34046784,0.69163334,0.8033917,0.7262567
p113_v7,0.4054579,0.79781026,0.4399692,0.2672401,1.1807549,0.88838965,0.6720925,0.85659206,0.96178776,0.6308265,0.8366195,0.6216432,0.8926322,0.72375774,1.088385,0.3125914,0.5427998,0.43397763,0.6051993,0.2488122,0.6907358,0.6796896,0.54394424,0.69376045,1.1050906,0.695345,0.6432554,0.41993916,0.61087286,0.6850158,0.3815605,0.6680235,0.44595677,1.143718,0.40762746,0.586863,0.5256143,0.37883797,1.2334536,0.99220896,0.66514,0.77338076,1.0317023,0.5849318,0.6053263,0.54780525,0.7994557,0.6777979,1.1466384,0.3573518,0.41174394,0.42145082,0.61204016,0.30675226,0.50978935,0.8285876,0.49566332,0.76045036,0.8739766,0.7240408,0.5364765,0.40176383,0.6827303,0.49965388,0.4046243,0.66791576,0.27179432,0.940449,0.9011123,0.88725424
p218_v4,0.3862213,0.8688571,0.35971317,0.29809532,0.9489111,0.99775875,0.44181308,0.6853081,0.7914332,0.60889465,0.621678,0.6981195,0.5329093,0.56437737,0.9901542,0.32739168,0.51563656,0.3829812,0.4197052,0.29305953,0.53691226,0.6358961,0.34929326,0.6057448,0.86953425,0.5727916,0.5075917,0.3708262,0.56713295,0.3394048,0.2864376,0.49698597,0.3197391,0.83310497,0.47031498,0.74105686,0.4304696,0.27718183,1.3013026,0.78510445,0.46049345,0.6818207,0.79064596,0.52742225,0.5975632,0.81808007,0.581701,0.5016905,0.99585336,0.36800605,0.44670588,0.58718616,0.5089962,0.28720847,0.5250458,0.7048148,0.37769586,0.6008284,0.8667108,0.500413,0.55677557,0.35983658,0.5521265,0.48306933,0.27146837,0.90480036,0.20111747,0.7160681,0.8025463,0.82104135
p221_v7,0.50754744,0.72476965,0.42505705,0.60467774,0.9984861,0.83188593,0.45428026,0.7948182,0.54605746,0.44143787,0.8528239,0.7808189,1.0276424,0.7141826,0.6904614,0.2524912,0.5790404,0.7041287,0.5253128,0.25860387,0.5648882,0.6149645,0.4529679,0.503421,1.10206,0.62570405,0.65146935,0.35299197,0.59381855,0.4920488,0.25694436,0.56481576,0.43120366,1.0628496,0.3877339,0.759437,0.3869672,0.6295385,1.2505563,0.8471261,0.41981864,0.61553067,0.5717329,0.60276943,0.89906216,0.88175184,0.95963144,0.61753744,0.6783121,0.41416875,0.5889392,0.60368526,0.48828045,0.30058688,0.56681263,0.5019749,0.35646263,0.61515397,1.0321664,0.57602316,0.55172956,0.30906397,0.6269611,0.4202429,0.3199315,0.5928186,0.46025744,0.7667388,0.8042544,0.7759744
p303_v6,0.37402862,0.7361571,0.34670007,0.70246255,0.82979727,1.1372596,0.552458,0.7724881,0.93282276,0.65895283,0.73211557,0.9386919,0.7889059,0.6579766,1.0468159,0.462722,0.56777143,0.5211603,0.49846637,0.37869954,0.62105525,0.672242,0.48475236,0.67689115,1.173814,0.5490028,0.71587354,0.4600604,0.6455124,0.45215634,0.32190084,0.6013294,0.5190945,1.0814506,0.42250535,0.752969,0.41093153,0.62775356,0.94780093,0.8731823,0.5488848,0.65977436,0.6951902,0.5315382,0.89093584,0.86299145,0.7112969,0.51631355,0.9990017,0.4605076,0.5232862,0.41585478,0.46381614,0.39636445,0.5601002,0.68730253,0.52020645,0.65430135,1.1887485,0.5463009,0.74689025,0.39868146,0.71981764,0.39933074,0.41828623,0.88750714,0.50529104,0.8905923,0.9444868,0.87774396
p100_v7,0.4407623,0.5059177,0.41613585,0.46186197,0.51843625,0.7463455,0.3995838,0.7063079,0.7460089,0.387824,0.7338767,0.67054045,0.8504148,0.5604112,0.95047724,0.47977695,0.48998106,0.484054,0.4302575,0.14364785,0.570563,0.61124736,0.39626268,0.68829453,0.8160028,0.45769852,0.4529739,0.26921934,0.5769106,0.49431515,0.29041097,0.5747163,0.4433062,0.8702672,0.36491513,0.5229147,0.42343816,0.43192118,0.78603023,1.0004165,0.37370774,0.7264593,0.9315001,0.5643205,0.7859316,0.69232345,0.62384385,0.60024405,0.87471056,0.32813793,0.45627636,0.3156356,0.2337973,0.26070797,0.5511869,0.64371204,0.3713986,0.68219745,0.93581575,0.3837244,0.51143056,0.33639395,0.4402942,0.498611,0.31412354,0.66918397,0.35832348,0.9519677,0.733616,0.7468621
p406_v7,0.40243715,0.8567223,0.46952927,0.2815934,1.4436862,1.3050326,0.6132897,0.8494764,0.73734856,0.597183,0.79959524,0.75263953,0.8608339,0.6253205,1.0914928,0.312619,0.38465554,0.32244292,0.5814155,0.19543326,0.64550006,0.65131414,0.5750054,0.60865694,1.0832098,0.6951787,0.6220082,0.43672183,0.7894841,0.6348358,0.33959907,0.8340611,0.41989604,1.0018183,0.3949236,0.7719288,0.442593,0.34423843,1.2229303,1.0905945,0.6839221,0.8668825,0.7943239,0.6010813,0.7054522,0.7684021,0.87164545,0.75491256,1.1472361,0.3888187,0.37033916,0.48019814,0.4714647,0.19981478,0.5991177,0.62856615,0.50015616,0.7098784,1.0140167,0.8139594,0.6277414,0.45785907,0.7833149,0.48802817,0.50447834,0.89693886,0.2661987,0.9845425,0.99566865,0.9991988
p326_v6,0.3796954,0.83766055,0.53789806,0.64272374,1.4406153,1.1256698,0.6087765,1.0300494,0.8383756,0.7991568,0.70288265,1.1051332,0.7489425,0.6879935,1.0589505,0.65786904,0.51232153,0.677565,0.5932079,0.09816159,0.6896461,0.7815681,0.68472886,0.5966004,1.0437485,0.5880549,0.64927524,0.48515838,0.64007664,0.6757605,0.2659408,0.9673484,0.520481,1.2329297,0.4223036,1.0371581,0.5411993,0.6375828,1.108645,1.0417535,0.5194172,0.7966207,0.8720115,0.5749401,0.799862,0.8758446,0.8823196,0.60318136,1.5219008,0.59703285,0.4829318,0.6524713,0.52269334,0.22724792,0.6587043,0.801605,0.5252691,0.5644991,1.0469686,0.787604,0.75411797,0.3417394,0.59756935,0.5669843,0.37950242,0.5752377,0.58165747,0.9274169,0.9925134,0.9859511
