SUBJECT,lh-bankssts,lh-caudalanteriorcingulate,lh-caudalmiddlefrontal,lh-cuneus,lh-entorhinal,lh-fusiform,lh-inferiorparietal,lh-inferiortemporal,lh-isthmuscingulate,lh-lateraloccipital,lh-lateralorbitofrontal,lh-lingual,lh-medialorbitofrontal,lh-middletemporal,lh-parahippocampal,lh-paracentral,lh-parsopercularis,lh-parsorbitalis,lh-parstriangularis,lh-pericalcarine,lh-postcentral,lh-posteriorcingulate,lh-precentral,lh-precuneus,lh-rostralanteriorcingulate,lh-rostralmiddlefrontal,lh-superiorfrontal,lh-superiorparietal,lh-superiortemporal,lh-supramarginal,lh-frontalpole,lh-temporalpole,lh-transversetemporal,lh-insula,rh-bankssts,rh-caudalanteriorcingulate,rh-caudalmiddlefrontal,rh-cuneus,rh-entorhinal,rh-fusiform,rh-inferiorparietal,rh-inferiortemporal,rh-isthmuscingulate,rh-lateraloccipital,rh-lateralorbitofrontal,rh-lingual,rh-medialorbitofrontal,rh-middletemporal,rh-parahippocampal,rh-paracentral,rh-parsopercularis,rh-parsorbitalis,rh-parstriangularis,rh-pericalcarine,rh-postcentral,rh-posteriorcingulate,rh-precentral,rh-precuneus,rh-rostralanteriorcingulate,rh-rostralmiddlefrontal,rh-superiorfrontal,rh-superiorparietal,rh-superiortemporal,rh-supramarginal,rh-frontalpole,rh-temporalpole,rh-transversetemporal,rh-insula,lh-MeanThickness,rh-MeanThickness
p306_v8,0.5616828,0.95575553,0.63517183,0.6601879,1.3618255,0.82232064,0.66716754,0.8714355,0.86178046,0.68992263,0.97928804,0.6549402,0.92063934,0.771634,0.88606495,0.6129681,0.7182909,0.7431023,0.54297936,0.5504914,0.66863793,1.0599355,0.6869583,0.74998814,1.2346255,0.74130005,0.746427,0.5287043,0.77006835,0.6062333,0.3848,0.9864712,0.49505487,1.1140178,0.35935244,1.0276651,0.4939295,0.7242515,1.0937798,0.9316176,0.615939,0.85525525,0.80411065,0.8359434,0.8420691,0.75613683,0.9189298,0.87735623,0.7851053,0.6666915,0.5455371,0.6021379,0.60492384,0.73038733,0.7283497,0.7769387,0.639071,0.7763157,1.2458009,0.87227356,0.8148935,0.50128835,0.6649031,0.6351669,0.23426144,0.9943212,0.22903587,1.3762596,0.95214605,1.0093023
p218_v4,0.4858294,1.3830761,0.65846246,0.37610397,1.1643038,0.9826642,0.6574613,0.79216987,0.8268324,0.7210758,0.7751305,0.72151697,0.72376347,0.711157,0.9246421,0.59802496,0.5940235,0.5967505,0.76299655,0.36468625,0.725317,0.8147519,0.77375674,0.6670535,1.5283384,0.8223013,0.6742349,0.5929292,0.68392503,0.69555557,0.2274582,0.7559415,0.16325773,1.0965112,0.45435542,1.094896,0.6107333,0.4287502,1.7026156,0.82076436,0.6783212,0.7119496,0.72962576,0.65660626,0.68131167,0.70204616,0.60211164,0.79640484,0.6594659,0.49938503,0.48724496,0.5993211,0.6401061,0.4387617,0.71494395,0.82631445,0.81911117,0.6281015,1.2435217,0.7971903,0.69758767,0.5745528,0.7250306,0.8086907,0.32293835,1.0873139,0.26492283,1.2502213,0.931795,0.9542817
p322_v8,0.7065728,0.84127355,0.4817253,1.0896639,1.3234335,1.3674251,1.0291376,1.5193214,0.53479844,1.098375,0.87313247,0.9287672,1.0374134,1.0893134,0.9996978,0.5557589,0.38057706,0.5218689,0.61517614,0.88880545,0.59091395,0.70245343,0.505776,0.758414,0.99866,0.85873836,0.864316,0.64132726,0.9296829,0.89844024,0.4954702,0.74698675,0.07621619,1.2611469,0.5758059,0.8756392,0.7611301,1.145709,1.3656512,1.2160345,1.0457342,1.5697663,0.614534,1.0130103,0.9298595,0.9850548,1.1309624,1.2304027,0.92900836,0.3424922,0.4686647,0.5155068,0.49626577,0.5964815,0.51780987,0.7070612,0.46952876,0.90320885,0.9562975,0.71143734,0.6605815,0.77811116,0.7755699,0.8850387,0.6816162,0.8512918,0.21341625,1.2355756,1.1144699,1.0844884
p142_v7,0.4203722,0.85440326,0.47175813,0.6510132,1.090097,0.93064827,0.7131177,0.87577057,0.8115694,0.69080305,0.8256934,0.6204002,0.6989663,0.7664587,0.90833056,0.62352264,0.45100197,0.5392786,0.50231504,0.69809043,0.7083576,0.74828404,0.69747627,0.8258077,1.3668133,0.6617398,0.60970205,0.5098108,0.7607641,0.63888425,0.31829786,0.8228405,0.19271512,1.0947207,0.4228669,0.84744835,0.5124189,0.7421337,1.1340427,1.0845741,0.8434523,0.8687075,0.83981997,0.75554097,0.70046633,0.65710574,0.7373894,0.7837393,0.8225839,0.3766681,0.53809446,0.60009575,0.660476,0.72312963,0.76359415,0.8177215,0.6345059,0.81206316,1.1354221,0.7773177,0.5911546,0.49202117,0.8525355,0.69632393,0.33587736,1.0234544,0.23926963,1.3069082,0.907566,0.934295
p082_v7,0.65762913,0.694397,0.56759673,0.5600889,1.3555164,1.0893341,0.67014176,0.8641794,0.9779797,0.6374807,0.8027544,0.9680603,0.90404767,0.82700455,0.90592426,0.549104,0.7609888,0.5973013,0.5872487,0.549964,0.78818357,0.7904419,0.80956393,0.879591,1.335088,0.78894657,0.7769965,0.5164948,1.0271916,0.7778804,0.37109643,0.69781935,0.32534164,1.4322808,0.93099517,0.78304714,0.5738216,0.65069884,1.6871431,1.1139076,0.78339493,1.0595399,1.1303724,0.7452021,0.8678487,0.79202867,0.85666025,0.88827467,0.9284953,0.6158362,0.86312467,0.59244996,0.62678593,0.6862441,0.8129459,0.83992875,0.78023726,0.99766386,1.3658246,0.7993041,0.69143903,0.5440767,0.87222934,0.8387859,0.31771183,0.5277776,0.34372413,1.5256704,1.0873294,1.0905008
p201_v7,1.038145,0.90738124,0.61604536,0.6009286,1.3411891,1.1329359,0.8195572,0.8618448,0.7205279,0.80668646,0.8868307,0.9218767,0.7156838,0.8336683,1.1705326,0.5550279,0.92324585,0.5995078,0.6316656,0.5893274,0.9067214,0.77646685,0.8944074,0.80268395,1.2355071,0.65562797,0.87261385,0.589806,0.93521047,0.81931067,0.49679294,0.8044675,0.5002785,1.4474152,0.52089804,0.9860767,0.54351526,0.56325537,1.520623,1.0047287,0.95680326,0.930477,0.7768259,0.80623204,1.0035166,1.0672294,0.81712735,0.8039632,1.1890523,0.41684353,0.77463394,0.54344565,0.7672613,0.48105884,0.9263292,0.7627346,0.7700986,0.7600004,1.0733589,0.81348,0.8236851,0.5205318,0.96120197,1.0614235,0.33110806,0.7708099,0.40910006,1.3247921,1.089122,1.1028407
p138_v7,0.4947887,1.4189976,0.4905625,0.4318715,1.088968,0.99524987,0.74920774,0.6822395,0.8605897,0.6632634,0.7809588,0.6277006,0.86210567,0.7487907,0.9093457,0.4911151,0.6537623,0.5220979,0.49507672,0.6451103,0.8524116,0.83769906,0.7695809,0.702506,1.488635,0.7340142,0.6552362,0.47415644,0.66049063,0.7925506,0.32968658,0.7129534,0.36268994,1.2616527,0.47479287,0.88504124,0.5443471,0.44301566,1.1074837,0.8892618,0.7347578,0.8280373,0.8435591,0.631463,0.7930078,0.6993406,0.84411025,0.90330666,0.89501196,0.3836767,0.6288676,0.46087405,0.6378339,0.6499122,0.8100157,0.7760954,0.8305785,0.7615903,1.2689826,0.72773314,0.6845049,0.5253494,0.7749127,0.70590466,0.3102819,0.9312095,0.21580726,1.3867981,0.93389386,0.9478926
p071_v6,0.6874384,0.7663453,0.5066203,0.7182636,1.3888975,1.2662994,0.730812,1.0313202,0.7313635,0.90841466,0.80451536,0.9584471,1.1099885,1.0053881,0.9664177,0.4642299,0.6249098,0.64864904,0.42077366,0.8546708,0.54121,0.95129424,0.59672946,0.79462415,1.5919635,0.79151213,0.7652106,0.5794538,1.04275,0.80446446,0.42075226,0.8502306,0.16256036,1.1928198,0.46975097,0.733064,0.5347778,0.786863,1.6614661,1.4589493,0.7708282,1.1405928,0.87404835,0.8820885,0.8373964,0.73951805,0.91722566,0.81114835,0.8558861,0.47305363,0.5584565,0.52317023,0.6117161,0.7280502,0.8288961,0.8601961,0.5974252,0.80849445,1.0743979,0.87607044,0.8083011,0.5564091,0.8139727,0.81359744,0.2940709,1.1910443,0.4411164,1.1947894,1.093415,1.0775551
p216_v7,0.46512553,1.1184425,0.6023626,0.6230306,1.2007899,1.2175488,0.79897577,0.94474316,0.8548287,0.72843266,0.7895859,0.4854983,0.63074255,0.89143217,0.920847,0.5676965,0.6900105,0.62500936,0.62149024,0.6564159,0.6402275,0.78686494,0.7229054,0.8155877,1.1024891,0.799012,0.64131767,0.6023236,0.7053904,0.72455794,0.29918206,0.98527247,0.32675844,1.3644073,0.36885804,0.7197063,0.6185739,0.60922575,1.3847697,1.3040994,0.8090003,0.9592989,0.9259854,0.6847946,1.035379,0.5885812,0.8210346,0.7619437,0.869465,0.48416528,0.5613953,0.64474505,0.6037454,0.6127442,0.6401741,0.7943079,0.72314984,0.8996127,0.87718475,0.8698393,0.665551,0.51931924,0.68887633,0.6836478,0.70822513,1.0064156,0.391403,1.3000093,0.9899265,0.9644616
p086_v5,0.37229407,0.9434075,0.5280289,0.5693611,1.306421,1.0835172,0.6485743,1.1838517,0.86344796,0.621376,0.84276116,0.66854894,0.93710953,0.79720384,0.6200191,0.5654364,0.6461386,0.7327623,0.47091597,0.5566693,0.63855654,0.8998509,0.5652249,0.82610035,1.1128535,0.647428,0.78567535,0.60484266,0.68755037,0.71685016,0.4533767,0.91703683,0.64373857,1.2152294,0.41129786,0.8658002,0.5852614,0.5331497,1.6255134,1.1178567,0.63458544,0.9769611,0.90519553,0.6757175,0.8059822,0.5724135,0.8574802,0.78246903,0.66610557,0.43824393,0.53471553,0.57824206,0.48153624,0.42709544,0.6398191,0.8107893,0.59823966,0.7446708,1.0321057,0.7226979,0.71095175,0.5916836,0.6373283,0.6749929,0.3338363,1.1663257,0.30151957,1.2350544,0.936811,0.94449764
