SUBJECT,lh-bankssts,lh-caudalanteriorcingulate,lh-caudalmiddlefrontal,lh-cuneus,lh-entorhinal,lh-fusiform,lh-inferiorparietal,lh-inferiortemporal,lh-isthmuscingulate,lh-lateraloccipital,lh-lateralorbitofrontal,lh-lingual,lh-medialorbitofrontal,lh-middletemporal,lh-parahippocampal,lh-paracentral,lh-parsopercularis,lh-parsorbitalis,lh-parstriangularis,lh-pericalcarine,lh-postcentral,lh-posteriorcingulate,lh-precentral,lh-precuneus,lh-rostralanteriorcingulate,lh-rostralmiddlefrontal,lh-superiorfrontal,lh-superiorparietal,lh-superiortemporal,lh-supramarginal,lh-frontalpole,lh-temporalpole,lh-transversetemporal,lh-insula,rh-bankssts,rh-caudalanteriorcingulate,rh-caudalmiddlefrontal,rh-cuneus,rh-entorhinal,rh-fusiform,rh-inferiorparietal,rh-inferiortemporal,rh-isthmuscingulate,rh-lateraloccipital,rh-lateralorbitofrontal,rh-lingual,rh-medialorbitofrontal,rh-middletemporal,rh-parahippocampal,rh-paracentral,rh-parsopercularis,rh-parsorbitalis,rh-parstriangularis,rh-pericalcarine,rh-postcentral,rh-posteriorcingulate,rh-precentral,rh-precuneus,rh-rostralanteriorcingulate,rh-rostralmiddlefrontal,rh-superiorfrontal,rh-superiorparietal,rh-superiortemporal,rh-supramarginal,rh-frontalpole,rh-temporalpole,rh-transversetemporal,rh-insula,lh-MeanThickness,rh-MeanThickness
p086_v5,1.8995763,2.51221,2.1247857,1.5431732,3.313252,2.9341123,2.2274475,3.1834521,2.58006,2.092567,2.5798397,1.8837969,2.6047523,3.0270982,1.8812363,1.9882692,2.2925003,2.7582965,2.1828835,1.2140805,1.7002183,2.3883238,2.1302075,2.046601,3.0008793,2.1247206,2.3536136,1.8512841,2.4617586,2.3935049,2.5203638,3.758512,2.4109023,2.9336836,2.140169,2.3567195,2.1705244,1.5476377,3.6779914,3.1536984,2.2180653,3.4686933,2.6271052,2.345761,2.6360302,1.8574196,2.4847355,2.859896,1.9149069,1.8361096,2.242848,2.8598943,2.1827102,1.2174073,1.6659397,2.3354852,1.9322307,1.9752818,2.7767901,2.2289736,2.2928789,1.779678,2.3643615,2.3152835,2.2553651,4.073307,2.2003746,2.9226334,2.2897725,2.2814238
p161_v4,1.7476444,2.6589997,2.1545837,1.5560664,3.4126818,2.584919,2.0180776,2.896688,2.1554108,2.0100014,2.295079,1.791107,2.3300328,2.8263113,2.189777,1.605582,2.000809,2.559136,2.0268314,1.0680294,1.5374655,2.2599554,1.9185771,1.9812316,2.4672673,2.1234267,2.3400774,1.7337147,2.116377,1.9257313,2.645886,4.564958,1.4308853,2.711457,1.8417467,2.643262,2.0836651,1.3464177,3.7228694,2.743626,2.1287305,2.906204,2.2736592,2.2474327,2.3841295,1.9638425,2.103445,2.7181523,2.5539696,1.7901866,1.9314349,2.5239267,2.029754,1.3248521,1.5554581,2.2012703,1.8586473,1.9915254,2.1284165,2.1136672,2.275518,1.8455167,2.444078,2.0298548,2.5571208,5.1644163,1.8208506,2.5541341,2.140417,2.1927829
p190_v4,2.0175493,2.4596307,2.4190981,1.9075596,2.9219687,3.0363927,2.4651136,3.4558325,2.4723067,2.3453145,2.842119,2.0626316,2.6326954,3.2511106,2.5512254,2.0800939,2.5390637,2.9372034,2.5704267,1.1333065,1.9809797,2.533846,2.3537238,2.3882759,3.282348,2.6630018,2.7442956,2.1961348,2.63164,2.4718971,3.4109015,3.4926252,2.087254,2.8579333,2.1332417,2.8062656,2.4126287,1.6050714,3.4309702,3.3048844,2.6290991,3.3862195,2.511434,2.52398,2.6932073,2.2100723,2.4797904,3.228082,2.6241128,2.1311743,2.467834,3.099654,2.6807687,1.3978732,1.8527486,2.5790749,2.3361137,2.216914,3.0607207,2.5708241,2.7839937,2.030189,2.5042083,2.5305498,3.0658402,4.1507297,2.256884,2.8809896,2.550557,2.5547955
p113_v7,1.817582,1.9698745,2.0113113,1.7118951,3.134469,2.793908,1.9907826,2.6271365,2.7493997,2.1998255,2.448753,1.952391,2.3018916,2.756955,2.4100149,1.9573134,2.2076726,2.419086,2.1193411,1.2148032,1.8368381,2.197304,2.1400177,2.0611567,3.0346737,2.0844426,2.419839,1.7389568,2.285971,2.2952492,2.8766077,3.035586,2.2653732,2.8478386,1.7963679,2.665161,2.1382596,1.7650621,3.5145316,2.848369,2.1868742,3.0066435,2.6276917,2.302909,2.5688655,1.8365196,2.237302,2.9308903,2.6017172,1.9029535,2.1539464,2.717908,2.1060884,1.2291826,1.7912849,2.3328953,1.9912748,2.1033592,2.68384,2.1721535,2.2736678,1.7604064,2.1650548,2.1832228,2.7136064,3.284542,2.2132294,2.761851,2.2381861,2.2604945
p218_v4,2.0301995,3.0130613,2.573004,1.7948647,3.2132058,2.9833732,2.469894,3.2129457,2.8279717,2.2291262,3.0107236,2.3829222,2.9594307,3.0433588,2.5742304,2.1330602,2.5118642,2.9708724,2.7025647,1.3135244,1.941808,2.3623044,2.3155138,2.332457,3.1122954,2.6889288,2.8996093,2.183087,2.6143756,2.6597478,3.372102,4.132663,2.2593675,2.7896261,2.090388,2.6692688,2.527612,1.7105253,3.4322438,2.9042292,2.507893,3.469337,2.692979,2.1044016,3.034806,2.4324777,2.66045,3.1956618,2.457814,1.97738,2.4032722,3.1511343,2.6502852,1.3275378,1.7304889,2.431349,2.2487082,2.2581916,3.1803067,2.8660235,2.7753735,2.078699,2.3853304,2.6873097,3.2693305,4.152722,1.8676146,2.8796363,2.5750704,2.5402741
p221_v7,2.0394137,3.0396442,2.2929807,1.5416621,3.1090248,2.8865173,2.1993365,3.3361037,2.4389424,1.9219786,3.0499947,2.0714512,3.2070444,2.9907706,2.1190608,1.7716918,2.4602525,2.988288,2.4804616,1.1323497,1.6880032,2.4453602,2.159799,2.0386205,3.071775,2.4905176,2.613391,1.7746857,2.538199,2.3186133,3.197757,3.59115,2.106337,2.9126754,2.0286562,2.7228262,2.2334273,1.4022125,3.2750974,3.041754,2.1822007,3.2378037,2.4772341,2.149024,3.0531325,2.134912,2.985255,3.1424425,2.4371684,1.865809,2.517252,3.1828036,2.5983999,1.1272005,1.7177371,2.398535,2.2162223,2.0790193,3.433431,2.5263472,2.5826905,1.7807952,2.7575667,2.4150689,3.36004,3.4921575,2.2216804,2.8481603,2.386086,2.4290814
p303_v6,2.0959806,2.415374,2.3959234,1.7199842,3.3498075,3.2444537,2.4694324,3.584397,3.0898354,2.4733117,2.8881114,2.394091,2.994685,3.3896036,2.3145537,2.3053591,2.5657904,3.232613,2.5760803,1.4064685,1.797937,2.5627918,2.2382293,2.471976,3.0449588,2.7913852,2.9393084,2.0419173,2.6093595,2.5764139,3.2872918,4.020041,2.293447,2.9993036,2.300606,2.2541177,2.361232,1.4767363,3.5945165,3.3474014,2.7793465,3.5192266,2.759876,2.490831,2.7963386,2.2458339,2.5577657,3.3795333,2.7058861,2.163764,2.3688395,2.9255998,2.630107,1.3304347,1.8484495,2.3885796,2.2692835,2.254228,3.0880349,2.644935,2.88143,2.0189052,2.8559659,2.6209314,3.3480115,4.2163653,2.404438,3.0217314,2.6262612,2.606854
p100_v7,2.0839908,3.1428332,2.218811,1.4982028,3.29364,2.7712474,2.2540548,3.2404332,2.6814256,2.3708382,2.5518599,1.9219785,2.991223,2.8164024,2.2176075,1.9811016,2.145621,2.6043425,2.078115,1.1519827,1.7234907,2.6351733,2.112002,2.3131936,2.8289616,2.2588053,2.5037725,1.9903649,2.5214758,2.3708575,3.1395638,3.7577033,2.1404574,2.6529317,1.903718,2.499337,2.2366738,1.4876907,3.66696,2.7590616,2.443641,3.032586,2.6554143,2.225413,2.6542208,2.0457208,2.343589,2.7819552,2.1631696,1.8968382,2.3071547,2.7712617,2.190786,1.400867,1.6402473,2.6323085,2.025113,2.1967812,2.8727138,2.3158636,2.459124,2.0270846,2.407395,2.5263186,2.7062113,4.0121174,2.0545225,2.7024245,2.366983,2.346467
p406_v7,2.237356,2.5903416,2.150467,1.4095105,3.5992732,2.9438903,2.1073654,2.784569,2.7139554,1.9557878,2.5402086,1.9689436,2.2441072,2.9200258,2.1796055,1.7691771,2.0193915,2.5177171,2.075914,1.2318612,1.7093265,2.1976948,2.1033297,2.0040178,2.7926264,2.2393055,2.4488902,1.7483152,2.5335097,2.2490938,2.5262454,3.9581327,2.194047,2.7188332,1.8102878,2.379135,2.022767,1.5914409,3.7042637,3.2340612,2.2030897,3.094145,2.4756613,2.1897798,2.616041,2.039129,2.347984,3.0859027,2.6604724,1.808341,2.2013626,2.544068,2.1450682,1.1231574,1.6127762,2.2388415,2.0500662,2.1504285,2.515312,2.3137846,2.2947528,1.7833827,2.5417173,2.2223706,2.7664375,4.5557175,2.1446102,2.6808712,2.2593472,2.301135
p326_v6,2.1833189,2.4282272,2.7780855,1.8921525,2.4573019,2.8763928,2.730769,3.151919,2.830989,2.7142615,3.0435166,2.4270854,3.054529,3.4168398,2.3030224,2.25888,2.9615757,3.1613364,2.5617056,1.4472307,2.195883,2.8221986,2.5793211,2.4294314,3.3044293,2.4694245,2.9916675,2.3992403,2.7911007,2.7930954,3.1802306,2.7971504,2.5553188,3.199308,2.5161996,2.7082515,2.801604,1.8083807,1.3619624,2.7747698,2.6670704,3.3309357,2.8754635,2.3523645,3.1288757,2.2981033,2.7953513,3.2596927,2.427677,2.2281363,2.6776094,3.2054129,2.6425457,1.2883859,2.1980388,2.7106917,2.4902196,2.53311,2.8824885,2.5864406,3.0174465,2.3487725,2.6390996,2.971847,3.10784,1.8271344,2.4040616,3.0690305,2.706693,2.661212
