SUBJECT,lh-bankssts,lh-caudalanteriorcingulate,lh-caudalmiddlefrontal,lh-cuneus,lh-entorhinal,lh-fusiform,lh-inferiorparietal,lh-inferiortemporal,lh-isthmuscingulate,lh-lateraloccipital,lh-lateralorbitofrontal,lh-lingual,lh-medialorbitofrontal,lh-middletemporal,lh-parahippocampal,lh-paracentral,lh-parsopercularis,lh-parsorbitalis,lh-parstriangularis,lh-pericalcarine,lh-postcentral,lh-posteriorcingulate,lh-precentral,lh-precuneus,lh-rostralanteriorcingulate,lh-rostralmiddlefrontal,lh-superiorfrontal,lh-superiorparietal,lh-superiortemporal,lh-supramarginal,lh-frontalpole,lh-temporalpole,lh-transversetemporal,lh-insula,lh-MeanThickness,rh-bankssts,rh-caudalanteriorcingulate,rh-caudalmiddlefrontal,rh-cuneus,rh-entorhinal,rh-fusiform,rh-inferiorparietal,rh-inferiortemporal,rh-isthmuscingulate,rh-lateraloccipital,rh-lateralorbitofrontal,rh-lingual,rh-medialorbitofrontal,rh-middletemporal,rh-parahippocampal,rh-paracentral,rh-parsopercularis,rh-parsorbitalis,rh-parstriangularis,rh-pericalcarine,rh-postcentral,rh-posteriorcingulate,rh-precentral,rh-precuneus,rh-rostralanteriorcingulate,rh-rostralmiddlefrontal,rh-superiorfrontal,rh-superiorparietal,rh-superiortemporal,rh-supramarginal,rh-frontalpole,rh-temporalpole,rh-transversetemporal,rh-insula,rh-MeanThickness
p100,2.445,2.592,2.498,1.852,2.954,2.469,2.476,2.631,2.015,2.192,2.476,1.834,2.38,2.481,2.616,2.462,2.278,2.198,2.346,1.647,2.133,2.269,2.506,2.523,2.549,2.288,2.616,2.357,2.58,2.56,2.862,3.42,2.307,2.797,2.40532,2.377,2.27,2.563,1.759,3.143,2.618,2.484,2.691,2.258,2.269,2.384,1.954,2.264,2.577,2.545,2.339,2.477,2.461,2.261,1.776,2.041,2.391,2.397,2.425,2.62,2.305,2.656,2.265,2.6,2.461,2.593,3.457,2.305,2.69,2.39677
p110,2.407,2.385,2.738,1.707,2.851,2.596,2.587,2.801,2.29,1.957,2.727,1.944,2.654,2.84,2.886,2.199,2.848,2.618,2.71,1.663,2.325,2.27,2.612,2.469,2.986,2.565,2.95,2.4,2.912,2.689,2.96,3.746,2.618,3.041,2.56129,2.52,2.096,2.699,1.841,3.55,2.665,2.549,2.865,2.706,2.021,2.823,2.076,2.548,2.843,2.557,2.444,2.689,3.063,2.673,1.591,2.222,2.411,2.668,2.492,2.696,2.527,2.919,2.352,2.916,2.639,2.809,3.798,2.784,3.055,2.56918
p114,2.453,2.645,2.051,1.666,3.411,2.538,2.416,2.623,2.327,2.043,2.383,1.735,2.294,2.635,2.723,2.156,2.3,2.583,2.341,1.351,1.888,2.275,2.263,2.216,2.895,2.244,2.515,2.0,2.6,2.36,2.42,3.518,1.902,2.724,2.28318,2.591,2.335,2.372,1.799,3.304,2.707,2.491,2.71,2.311,2.131,2.298,1.956,2.319,2.781,2.97,2.384,2.345,2.39,2.39,1.422,1.83,2.418,2.202,2.458,2.607,2.242,2.567,2.127,2.62,2.333,2.454,3.911,1.857,2.969,2.36573
p122,2.709,2.58,2.735,1.78,3.294,2.8,2.569,3.065,2.554,2.097,2.829,1.877,2.645,3.135,3.066,2.463,2.832,2.901,2.691,1.342,2.192,2.573,2.771,2.325,2.972,2.496,2.832,2.238,3.034,2.749,2.574,3.682,2.881,3.135,2.57591,2.58,2.531,2.837,1.974,3.003,2.786,2.578,2.991,2.397,2.041,2.839,2.022,2.482,2.995,2.92,2.497,2.814,2.914,2.701,1.544,2.291,2.419,2.689,2.383,3.014,2.51,2.889,2.238,2.797,2.817,2.732,4.283,2.575,3.023,2.5697
p135,2.399,2.651,2.768,1.879,3.14,2.641,2.487,2.724,2.199,2.109,2.663,1.938,2.527,2.891,2.717,2.305,2.652,2.88,2.575,1.646,2.098,2.24,2.534,2.387,2.8,2.585,2.791,2.145,2.706,2.582,2.783,3.739,2.364,3.038,2.48906,2.419,2.546,2.696,1.846,3.364,2.706,2.546,2.695,2.294,2.064,2.636,1.977,2.604,2.766,2.578,2.53,2.614,2.496,2.412,1.548,2.081,2.386,2.579,2.471,2.857,2.457,2.806,2.328,2.686,2.494,2.713,4.007,2.495,2.972,2.49055
p142,2.349,2.449,2.599,1.644,3.474,2.572,2.463,2.795,2.225,2.05,2.591,1.868,2.242,2.759,2.67,2.35,2.563,2.879,2.435,1.452,2.105,2.425,2.6,2.308,2.675,2.395,2.748,2.222,2.645,2.593,2.854,3.342,2.2,2.683,2.43137,2.492,2.31,2.556,1.829,2.324,2.399,2.43,2.669,2.098,2.108,2.394,1.867,2.206,2.643,2.458,2.202,2.496,2.803,2.313,1.409,2.132,2.187,2.361,2.383,2.609,2.286,2.697,2.203,2.696,2.606,2.607,3.763,2.19,2.801,2.37339
p156,2.499,2.232,2.622,1.721,2.875,2.66,2.414,2.64,2.206,2.087,2.626,1.826,2.512,2.634,2.455,2.215,2.679,2.91,2.551,1.563,2.253,2.231,2.412,2.343,2.669,2.506,2.79,2.342,2.598,2.615,2.883,3.134,2.379,2.811,2.4486,2.415,2.093,2.709,1.543,2.594,2.632,2.391,2.771,2.07,2.143,2.624,1.869,2.428,2.856,2.371,2.314,2.705,2.735,2.64,1.466,2.237,2.094,2.611,2.306,2.79,2.472,2.871,2.261,2.787,2.567,2.977,3.023,2.38,2.938,2.46792
p161,2.079,2.456,2.379,1.594,3.463,2.238,2.102,2.396,2.09,1.92,2.354,1.659,2.08,2.58,2.572,1.901,2.192,2.421,2.062,1.427,1.781,2.173,2.089,2.185,2.66,2.207,2.43,1.996,2.367,2.133,2.613,3.187,1.821,2.689,2.169,2.317,2.413,2.327,1.568,3.439,2.343,2.166,2.557,2.195,1.925,2.434,1.748,2.118,2.53,2.832,2.15,2.074,2.481,2.195,1.796,1.854,2.581,2.199,1.998,2.53,2.123,2.494,1.934,2.641,2.095,2.638,3.216,2.136,2.597,2.21122
p173,2.474,2.7,2.621,1.757,2.737,2.492,2.413,2.819,2.417,1.892,2.66,1.929,2.445,2.6,2.523,2.591,2.581,2.696,2.481,1.376,2.088,2.39,2.48,2.3,2.932,2.472,2.824,2.243,2.681,2.544,2.676,3.041,2.715,3.013,2.44543,2.716,2.546,2.519,1.885,2.932,2.659,2.493,2.836,2.437,2.024,2.571,1.998,2.345,2.822,2.703,2.5,2.554,2.682,2.468,1.467,2.026,2.4,2.364,2.368,2.833,2.383,2.853,2.259,2.783,2.589,2.497,3.086,2.733,3.075,2.45036
p176,2.623,2.728,2.69,1.673,2.335,2.706,2.448,2.723,1.954,1.813,2.702,1.835,2.531,2.671,2.709,2.298,2.568,2.834,2.601,1.535,2.092,2.523,2.592,2.342,2.733,2.367,2.744,2.261,2.66,2.589,2.587,3.231,2.215,3.017,2.46155,2.51,2.524,2.685,1.815,2.702,2.796,2.5,2.846,2.104,2.013,2.686,1.894,2.457,2.951,2.542,2.235,2.644,2.86,2.359,1.387,1.967,2.53,2.4,2.428,2.717,2.435,2.79,2.191,2.737,2.461,2.618,3.55,2.235,2.768,2.46456
p184,2.306,2.493,2.558,1.725,3.384,2.596,2.358,2.725,2.506,1.989,2.685,1.955,2.549,2.653,2.446,2.161,2.475,2.612,2.315,1.411,1.939,2.596,2.418,2.274,2.567,2.349,2.556,2.132,2.541,2.456,2.469,3.296,2.229,3.079,2.37179,2.624,2.286,2.479,1.818,3.19,2.578,2.398,2.61,2.308,2.1,2.612,1.901,2.354,2.737,2.205,2.261,2.494,2.59,2.337,1.386,1.869,2.369,2.285,2.192,2.521,2.4,2.602,2.074,2.546,2.371,2.447,3.174,2.153,3.06,2.33481
p194,2.274,2.441,2.502,1.494,2.92,2.536,2.277,2.622,2.268,2.006,2.507,1.766,2.35,2.524,2.395,2.145,2.497,2.447,2.214,1.503,2.031,2.33,2.307,2.261,2.633,2.153,2.572,2.159,2.638,2.391,2.485,3.503,2.384,2.751,2.32329,2.355,2.249,2.381,1.779,3.219,2.605,2.242,2.741,2.12,2.134,2.267,1.743,2.257,2.79,2.397,2.03,2.617,2.651,2.351,1.595,2.004,2.361,2.31,2.192,2.453,2.251,2.547,2.103,2.717,2.442,2.64,3.643,2.119,2.811,2.32919
p203,2.16,2.394,2.15,1.6,3.198,2.402,2.144,2.352,2.403,1.88,2.58,1.832,2.224,2.575,2.376,2.039,2.397,2.681,1.996,1.391,1.83,2.373,1.988,2.034,2.724,2.109,2.321,1.846,2.539,2.244,2.642,3.217,2.12,2.727,2.17978,2.133,2.303,2.093,1.661,2.593,2.443,2.191,2.491,2.213,1.969,2.468,1.718,2.211,2.683,2.268,2.097,2.267,2.557,2.185,1.274,1.757,2.39,2.051,2.145,2.555,1.998,2.336,1.871,2.441,2.213,2.617,3.314,2.029,2.795,2.173
p218,2.518,2.832,3.076,2.047,2.727,2.718,2.666,3.023,2.236,2.077,2.886,2.186,2.682,2.899,2.909,2.569,2.823,2.756,2.843,1.638,2.308,2.452,2.931,2.579,2.948,2.761,3.098,2.464,2.975,2.806,3.478,3.597,2.482,2.99,2.67932,2.678,2.698,3.021,1.903,2.68,2.681,2.711,3.046,2.269,2.182,2.893,2.142,2.562,2.958,2.658,2.533,2.853,3.023,2.844,1.817,2.155,2.563,2.812,2.613,2.78,2.782,3.102,2.402,2.776,2.76,3.234,3.763,2.341,2.965,2.65617
p302,2.362,2.451,2.587,1.718,3.294,2.725,2.327,2.8,2.089,2.046,2.65,2.021,2.539,2.832,2.3,2.219,2.651,2.717,2.522,1.494,2.167,2.253,2.343,2.441,2.766,2.512,2.939,2.165,2.735,2.493,3.236,3.501,2.334,3.132,2.47976,2.599,2.324,2.654,1.833,3.089,2.737,2.452,2.839,2.169,2.069,2.673,2.02,2.512,2.828,2.111,2.317,2.641,3.047,2.65,1.506,2.211,2.42,2.468,2.378,2.796,2.614,2.965,2.12,2.834,2.508,2.717,3.496,2.298,3.174,2.5069
p307,2.509,2.58,2.782,1.901,2.966,2.636,2.688,2.695,2.449,2.017,2.883,2.085,2.736,2.599,2.965,2.662,2.746,3.188,2.76,1.574,2.257,2.614,2.48,2.34,2.923,2.653,2.921,2.353,2.63,2.708,3.107,3.33,2.765,3.041,2.55805,2.487,3.068,2.782,1.815,2.989,2.655,2.704,2.884,2.569,2.162,2.739,1.957,2.65,2.945,2.676,2.579,2.756,2.956,2.573,1.645,2.133,2.63,2.446,2.458,3.129,2.517,2.91,2.387,2.689,2.609,2.877,3.078,2.645,3.127,2.56684
p314,2.348,2.259,2.65,1.73,2.707,2.561,2.498,2.841,2.367,1.96,2.739,1.789,2.386,2.942,2.426,2.501,2.713,2.895,2.528,1.315,2.136,2.268,2.61,2.396,2.769,2.525,2.743,2.283,2.789,2.551,2.99,3.808,2.179,2.844,2.45058,2.652,2.29,2.659,1.897,2.974,2.538,2.654,2.713,2.282,2.095,2.649,1.776,2.546,2.864,2.683,2.665,2.536,2.666,2.619,1.226,2.063,2.441,2.543,2.472,2.731,2.431,2.805,2.25,2.878,2.628,2.54,3.625,2.145,2.899,2.46136
p322,2.026,1.968,2.252,1.496,3.058,2.405,2.259,2.452,2.236,1.748,2.157,1.909,2.315,2.369,2.668,1.46,2.486,2.59,2.507,1.396,1.878,2.394,1.986,2.038,2.75,2.15,2.32,1.833,2.077,2.129,2.528,3.099,1.951,2.913,2.1458,2.052,2.2,2.025,1.674,2.383,2.18,2.325,2.202,2.308,1.853,2.305,1.703,2.244,2.183,2.55,1.825,2.015,2.377,2.504,1.344,1.688,2.293,1.685,2.199,2.86,1.859,2.324,2.067,1.934,2.112,2.411,3.003,2.234,2.273,2.06207
p403,2.417,2.551,2.937,1.692,2.606,2.634,2.639,2.875,2.434,2.04,2.673,1.943,2.367,3.063,2.511,2.372,2.777,2.81,2.538,1.234,2.15,2.415,2.403,2.414,3.061,2.576,2.982,2.361,2.892,2.688,3.068,3.377,2.403,2.986,2.54606,2.717,2.688,2.908,1.823,3.408,2.758,2.65,2.911,2.401,2.072,2.597,1.925,2.5,2.949,2.357,2.504,2.808,2.777,2.478,1.308,2.004,2.462,2.667,2.326,2.996,2.48,2.92,2.276,2.948,2.77,3.23,2.92,2.677,3.125,2.55034
p75,2.389,2.318,2.455,1.693,3.219,2.74,2.508,2.643,2.428,2.056,2.451,2.087,2.191,2.689,2.911,2.271,2.404,2.903,2.45,1.549,1.963,2.281,2.368,2.344,2.567,2.494,2.607,2.128,2.821,2.522,2.457,3.541,2.311,2.921,2.41515,2.732,2.213,2.243,1.903,3.212,2.774,2.497,2.67,2.423,2.155,2.468,1.815,2.47,2.781,2.737,2.318,2.524,2.641,2.458,1.389,2.265,2.285,1.904,2.403,2.708,2.275,2.545,2.142,3.067,2.606,2.769,3.964,2.482,2.782,2.41474
p83,2.341,2.678,2.767,1.95,3.11,2.624,2.492,2.662,2.648,2.258,2.619,2.006,2.425,2.813,2.727,2.633,2.555,3.142,2.692,1.835,2.321,2.422,2.788,2.522,2.791,2.598,2.907,2.345,2.821,2.661,2.924,3.439,2.354,3.084,2.56653,2.686,2.304,2.435,1.91,2.913,2.732,2.586,2.613,2.341,2.181,2.681,2.108,2.335,2.958,2.64,2.648,2.399,2.912,2.489,1.745,2.187,2.591,2.645,2.508,2.585,2.417,2.87,2.292,2.935,2.647,2.866,3.92,2.557,3.095,2.52703
p97,2.486,2.782,2.413,1.691,3.848,2.757,2.405,2.803,2.545,2.01,2.618,2.153,2.239,2.957,2.99,2.106,2.365,2.667,2.315,1.501,2.014,2.408,2.256,2.289,2.765,2.231,2.495,1.964,2.834,2.462,2.557,3.85,2.479,3.118,2.399,2.755,2.501,2.274,1.831,3.229,2.647,2.459,2.814,2.412,2.187,2.617,2.012,2.325,3.009,2.864,2.194,2.762,2.841,2.613,1.496,1.877,2.454,2.256,2.249,2.517,2.294,2.433,1.979,2.838,2.392,2.934,3.711,2.519,2.916,2.40194
p103,2.593,2.624,2.333,1.78,3.237,2.691,2.507,2.721,2.287,2.169,2.584,1.984,2.273,2.833,2.542,2.186,2.411,2.501,2.336,1.584,2.088,2.448,2.455,2.285,2.646,2.211,2.564,2.07,2.962,2.562,2.461,3.837,2.89,2.863,2.40844,2.55,2.343,2.304,1.861,3.33,2.607,2.439,2.582,2.259,2.194,2.539,2.034,2.23,2.963,2.833,2.313,2.457,2.726,2.333,1.65,1.897,2.291,2.334,2.353,2.566,2.263,2.549,2.158,2.863,2.47,2.456,3.932,2.859,3.029,2.39849
p111,2.388,2.591,2.262,1.944,3.226,2.72,2.299,2.754,2.35,2.191,2.467,1.81,2.408,2.759,2.231,2.172,2.678,2.439,2.527,1.464,2.011,2.464,2.445,2.215,2.801,2.306,2.508,1.98,2.785,2.357,2.936,3.384,2.84,2.829,2.36634,2.483,2.323,2.45,1.95,3.499,2.711,2.393,2.771,2.463,2.217,2.579,1.872,2.398,2.924,2.138,2.122,2.671,2.499,2.573,1.575,2.25,2.597,1.992,2.432,2.82,2.34,2.453,2.046,2.772,2.476,2.854,3.311,2.892,2.765,2.40892
p119,2.328,2.431,2.707,1.816,3.448,2.63,2.471,2.752,2.093,1.901,2.484,1.859,2.387,2.751,2.744,2.02,2.482,2.887,2.454,1.31,2.053,2.374,2.433,2.285,3.018,2.362,2.685,2.219,2.514,2.451,2.923,3.845,2.398,3.043,2.3904,2.293,2.483,2.362,1.804,3.429,2.664,2.335,2.745,2.286,1.937,2.601,1.698,2.285,2.818,2.999,2.042,2.641,2.922,2.485,1.427,1.989,2.384,2.438,2.278,2.864,2.238,2.735,2.197,2.773,2.522,2.855,3.495,2.559,2.929,2.37723
p125,2.608,2.248,2.58,1.705,3.568,2.701,2.33,2.81,2.383,1.908,2.579,1.935,2.442,3.047,2.701,2.148,2.658,2.87,2.705,1.401,2.175,2.249,2.443,2.283,2.803,2.402,2.736,2.08,2.936,2.548,3.24,3.684,2.5,2.773,2.4358,2.639,2.185,2.397,1.747,3.436,2.695,2.464,2.803,2.324,2.044,2.718,2.007,2.341,2.825,2.741,2.297,2.676,2.83,2.425,1.436,2.107,2.324,2.495,2.393,2.831,2.262,2.666,2.208,2.935,2.499,2.782,4.038,2.759,2.898,2.44104
